city,max-bedroom,min-bathroom,max-bathroom,min-carpet-area,max-carpet-area,min-total-area,max-total-area,property-type,facing,overlooking,parking,balcony,min-price,max-price,Furniture,Land Deed,Registry
Gurgaon,2,1,4,1278,2936,1616,3054,Apartment,Northeast,Garden,No,Yes,7100336,46772113,Yes,Yes,Registered
Gurgaon,3,1,5,623,2471,1361,2838,Studio,East,None,Yes,Yes,3663071,46912091,Yes,Yes,Registered
Noida,5,3,5,651,2849,1245,3539,Independent House,Northeast,None,No,Yes,7904800,43118671,Yes,Yes,Registered
Delhi,4,2,5,872,1803,1055,3277,Independent House,East,Park,No,Yes,4269225,34904633,No,Yes,Registered
Faridabad,3,3,1,617,1825,1747,2441,Villa,Southwest,Pool,No,No,4067191,45559183,No,Yes,Registered
Gurgaon,4,3,2,1136,1731,1804,2401,Studio,West,Garden,No,Yes,6435162,35161160,Yes,Yes,Registered
Noida,5,3,1,1279,2716,1260,2628,Studio,South,None,Yes,Yes,6077300,15782086,Yes,Yes,Registered
Ghaziabad,1,3,1,1418,1817,1970,2780,Studio,South,Pool,Yes,No,3656926,47242989,Yes,Yes,Registered
Noida,5,2,4,655,2033,1731,2034,Studio,South,Park,No,No,3709918,28906266,No,Yes,Registered
Ghaziabad,5,2,1,692,2994,1781,2519,Villa,North,Main Road,No,Yes,3470181,15799639,Yes,Yes,Registered
Delhi,3,4,2,1098,2635,1320,2313,Apartment,Southwest,None,Yes,No,3743616,36930005,No,Yes,Not Registered
Noida,3,4,5,1469,2680,1425,2815,Studio,Northeast,Park,Yes,Yes,3661628,36999287,Yes,Yes,Registered
Gurgaon,2,1,5,538,2764,1648,2293,Studio,South,None,No,No,8021550,36747513,Yes,Yes,Registered
Delhi,1,3,2,1354,1707,1876,2667,Studio,East,Park,No,No,9746683,28656447,Yes,Yes,Registered
Ghaziabad,5,3,5,782,2658,1286,2285,Independent House,Northwest,Main Road,Yes,No,3454705,36626464,Yes,Yes,Registered
Ghaziabad,2,1,3,1099,2454,1072,2428,Apartment,Northeast,Pool,Yes,Yes,4062614,27200938,No,Yes,Registered
Faridabad,2,3,2,530,1939,1716,2337,Villa,West,None,Yes,No,7936566,13113155,No,Yes,Registered
Delhi,4,1,1,1136,2186,1601,2182,Independent House,North,Park,No,No,5727985,26680416,No,Yes,Registered
Gurgaon,1,3,1,513,2388,1476,3498,Apartment,South,Garden,No,No,9454457,27602559,Yes,Yes,Registered
Ghaziabad,1,1,5,1352,2829,1545,3070,Studio,North,Pool,No,No,5453943,21010961,No,Yes,Registered
Noida,1,1,2,1227,2622,1140,2422,Villa,West,Garden,No,No,7280634,20431182,Yes,Yes,Registered
Noida,4,4,4,609,1584,1240,3003,Apartment,Northwest,None,No,No,4138584,28736605,Yes,Yes,Registered
Ghaziabad,2,4,5,1235,1841,1486,2044,Villa,North,None,Yes,Yes,9894721,23290867,No,Yes,Registered
Gurgaon,4,3,5,724,2768,1510,3254,Studio,South,Main Road,Yes,Yes,3173661,43300829,Yes,Yes,Registered
Gurgaon,4,3,3,1381,1948,1544,2499,Apartment,North,Garden,Yes,Yes,6977283,42180950,Yes,Yes,Registered
Faridabad,5,3,5,876,2027,1944,2580,Independent House,South,None,No,No,7033734,41153774,No,Yes,Registered
Faridabad,1,3,3,1483,2426,1638,2953,Independent House,Southeast,Main Road,No,No,8926688,36263638,Yes,Yes,Registered
Gurgaon,1,3,3,1401,2947,1181,3158,Apartment,Southwest,Main Road,No,Yes,4386967,39332300,Yes,Yes,Registered
Gurgaon,2,2,2,521,2413,1971,2861,Studio,South,None,Yes,Yes,7766593,43703976,Yes,Yes,Registered
Ghaziabad,5,2,1,897,2749,1224,3429,Studio,Southeast,Main Road,No,Yes,7439245,13237913,Yes,Yes,Registered
Ghaziabad,2,2,4,1177,2398,1239,3696,Apartment,Southwest,None,Yes,No,8140934,13962253,No,Yes,Registered
Noida,3,1,2,785,1515,1951,3475,Villa,South,None,Yes,Yes,6411568,22289322,No,Yes,Registered
Delhi,3,4,4,1356,2755,1955,3959,Villa,East,Garden,Yes,No,3914800,27221713,Yes,Yes,Registered
Faridabad,5,2,1,1488,2750,1647,2633,Apartment,Southwest,Park,Yes,Yes,5890663,45586665,No,Yes,Registered
Noida,4,3,2,1287,2986,1400,2286,Villa,Northeast,Garden,No,No,5415964,28728418,No,Yes,Not Registered
Ghaziabad,2,2,2,1446,1884,1812,2529,Villa,Southeast,Park,Yes,No,3612310,14626409,Yes,Yes,Registered
Noida,3,2,5,1351,1848,1610,2148,Independent House,Southeast,Garden,No,Yes,6105968,40915308,Yes,Yes,Registered
Delhi,5,4,5,797,1649,1875,2924,Apartment,Northeast,Main Road,No,No,8177062,18386041,No,Yes,Registered
Delhi,4,2,1,582,2224,1684,2387,Apartment,Southwest,None,No,Yes,4028174,14262998,No,Yes,Registered
Noida,5,2,4,503,1722,1525,2842,Villa,Southeast,Pool,Yes,No,4429372,49561681,Yes,Yes,Registered
Delhi,5,4,4,1243,2650,1687,2045,Villa,East,Main Road,No,Yes,9422206,49251340,No,Yes,Not Registered
Faridabad,3,3,3,1019,2729,1664,2737,Studio,Northeast,Pool,Yes,Yes,7565325,39769615,Yes,Yes,Registered
Gurgaon,1,4,5,552,2257,1091,2305,Apartment,Northwest,Park,No,Yes,7037511,45182117,Yes,Yes,Registered
Noida,1,2,4,545,1870,1900,2944,Apartment,East,None,Yes,No,3877328,39538460,Yes,Yes,Registered
Faridabad,2,4,3,958,2708,1713,3848,Apartment,East,None,No,No,3822992,32084346,Yes,Yes,Not Registered
Faridabad,1,4,2,1097,2812,1366,2423,Independent House,North,Garden,No,No,5795468,46971100,No,Yes,Registered
Gurgaon,3,2,2,1292,2480,1541,3704,Studio,North,None,No,Yes,3672287,41328729,No,Yes,Registered
Ghaziabad,1,2,3,1477,1606,1910,3754,Villa,Northeast,Pool,No,No,5933958,22564929,Yes,Yes,Not Registered
Delhi,1,2,1,1066,2898,1436,3230,Studio,Northwest,None,No,Yes,4707327,43542676,Yes,Yes,Registered
Delhi,3,3,4,980,2299,1229,2391,Apartment,South,Garden,No,Yes,2786893,43464627,No,Yes,Registered
Ghaziabad,5,2,2,799,2004,1408,3322,Apartment,Southeast,Garden,Yes,Yes,2304160,29398645,Yes,Yes,Registered
Gurgaon,1,1,1,1231,1869,1348,3493,Villa,South,Pool,Yes,Yes,2401994,27995458,No,Yes,Registered
Delhi,2,4,1,631,2068,1703,2735,Studio,Southeast,Park,Yes,No,7508886,31250928,No,Yes,Registered
Noida,4,4,1,1098,2159,1253,2621,Independent House,West,Garden,Yes,Yes,7070936,44437703,No,Yes,Registered
Delhi,3,4,5,773,2702,1707,2012,Independent House,Northwest,Pool,No,No,4802943,46300645,Yes,Yes,Registered
Noida,3,2,4,931,1560,1286,3887,Independent House,Northwest,Main Road,Yes,No,2393410,45243322,Yes,Yes,Registered
Noida,1,4,1,1225,2183,1052,2858,Independent House,Northwest,Garden,No,No,4073131,15109369,Yes,Yes,Registered
Faridabad,4,1,5,1006,2477,1684,2269,Independent House,North,Pool,Yes,Yes,2870187,18130265,Yes,Yes,Registered
Faridabad,3,3,1,937,2929,1848,2603,Apartment,North,None,Yes,Yes,4034331,48175990,Yes,Yes,Registered
Faridabad,3,1,2,1131,2840,1988,3869,Independent House,Northeast,Park,Yes,Yes,5653174,35582422,Yes,Yes,Registered
Gurgaon,4,3,4,710,1781,1245,3500,Villa,Southeast,Pool,No,Yes,3016063,22537168,No,Yes,Registered
Gurgaon,2,4,3,615,2269,1289,3920,Apartment,Northwest,Pool,Yes,Yes,7004103,41916752,No,Yes,Not Registered
Gurgaon,4,4,2,1237,2967,1815,2687,Studio,South,Pool,No,No,3891361,48317418,Yes,Yes,Registered
Delhi,5,1,2,933,1588,1971,2926,Independent House,South,None,No,No,2446840,47155307,Yes,Yes,Registered
Faridabad,3,4,4,1237,2036,1206,2853,Studio,West,Pool,No,No,9034816,18441194,No,Yes,Registered
Ghaziabad,3,2,5,1433,1705,1820,2339,Independent House,South,None,No,Yes,6642601,40454877,Yes,Yes,Registered
Gurgaon,5,1,3,540,2199,1173,3243,Independent House,Southeast,Main Road,No,No,5485727,17491747,Yes,Yes,Registered
Ghaziabad,5,2,5,1255,2770,1377,2961,Villa,Northeast,Park,Yes,Yes,9359579,39781844,No,Yes,Registered
Faridabad,5,4,4,886,2271,1525,3932,Studio,West,Garden,Yes,Yes,4602649,43817331,No,Yes,Registered
Faridabad,3,1,2,531,1849,1470,3364,Villa,Northeast,Garden,No,Yes,8563077,16321574,Yes,Yes,Registered
Noida,1,1,1,1033,2874,1835,3758,Apartment,West,Park,Yes,Yes,8032907,16841423,No,Yes,Registered
Gurgaon,2,1,1,973,2059,1960,3964,Apartment,North,Pool,No,No,8195588,37500775,Yes,Yes,Registered
Gurgaon,1,4,2,970,2980,1248,2940,Villa,Southwest,None,Yes,Yes,9795073,19529664,No,Yes,Registered
Ghaziabad,3,1,2,1247,2167,1551,3455,Independent House,Southwest,Pool,No,No,5667287,16760447,No,Yes,Registered
Gurgaon,2,4,1,883,2290,1446,2455,Apartment,North,Main Road,Yes,Yes,3974729,39021247,No,Yes,Registered
Delhi,4,2,4,1251,1731,1493,3944,Villa,West,None,No,Yes,3060417,18141536,Yes,Yes,Registered
Ghaziabad,3,3,4,516,2320,1404,2484,Villa,North,Garden,No,Yes,6916222,25481035,Yes,Yes,Registered
Noida,2,2,4,571,2503,1340,3548,Studio,Northwest,Park,Yes,Yes,2983797,31145786,Yes,Yes,Not Registered
Ghaziabad,5,2,3,720,2147,1912,3743,Independent House,South,Park,Yes,Yes,2095478,28947130,Yes,Yes,Registered
Noida,3,2,3,1326,2396,1428,2343,Independent House,East,Park,Yes,Yes,9293770,29932009,No,Yes,Registered
Ghaziabad,5,4,5,861,2883,1996,2468,Villa,South,None,Yes,Yes,5652473,15929570,Yes,Yes,Not Registered
Faridabad,2,1,3,1221,1906,1286,2017,Apartment,Southeast,Pool,Yes,Yes,8212709,31735614,Yes,Yes,Registered
Noida,4,4,2,1150,2590,1664,2225,Villa,North,Garden,No,No,6342477,28741899,Yes,Yes,Registered
Delhi,5,3,3,1255,2271,1414,3373,Apartment,Northeast,Park,No,Yes,5861126,29163664,Yes,Yes,Registered
Delhi,3,2,2,952,1673,1086,2753,Villa,East,Main Road,Yes,Yes,3650751,26037373,No,Yes,Registered
Faridabad,2,2,1,518,1958,1606,2300,Villa,Southeast,Main Road,No,Yes,7419975,45813287,Yes,Yes,Registered
Ghaziabad,5,2,2,1444,2932,1334,2346,Studio,East,None,No,Yes,8604289,21847884,Yes,Yes,Registered
Gurgaon,5,2,1,724,2205,1475,2665,Villa,Northwest,Main Road,Yes,Yes,9044014,45335522,Yes,Yes,Registered
Gurgaon,3,4,3,520,2609,1899,2454,Apartment,Northwest,None,No,Yes,6260729,16166948,Yes,Yes,Registered
Faridabad,5,4,3,1441,2390,1176,2953,Studio,Northeast,Main Road,No,Yes,9856849,30912813,Yes,Yes,Registered
Delhi,2,4,4,861,2858,1501,3339,Studio,Southwest,Main Road,Yes,Yes,4674214,22342845,No,Yes,Registered
Ghaziabad,3,1,1,1189,1726,1511,2182,Villa,Northeast,Main Road,Yes,Yes,6172782,40258800,No,Yes,Registered
Faridabad,1,1,2,740,1912,1921,3830,Apartment,Northeast,Park,No,No,5779825,37254675,No,Yes,Registered
Ghaziabad,4,1,5,520,1873,1940,3213,Villa,Southeast,None,No,No,4887596,48635482,Yes,Yes,Registered
Ghaziabad,3,1,5,735,2180,1505,3160,Independent House,Southeast,None,Yes,No,6166488,38545491,No,Yes,Registered
Noida,1,2,4,951,2684,1265,3974,Apartment,Southwest,None,Yes,Yes,5248107,24306998,No,Yes,Registered
Noida,1,3,4,1336,2263,1799,2604,Apartment,Northwest,Main Road,Yes,Yes,7594584,29437303,Yes,Yes,Registered
Gurgaon,3,1,5,534,1817,1855,3758,Apartment,Southwest,Pool,Yes,No,2465872,32999087,No,Yes,Not Registered
Gurgaon,4,2,4,1106,1533,1431,3355,Independent House,Southeast,Main Road,No,No,5772481,39894363,No,Yes,Registered
Noida,2,3,5,1414,2854,1356,3218,Apartment,East,Pool,Yes,Yes,8094059,18646256,Yes,Yes,Registered
Ghaziabad,3,2,2,727,2648,1463,2399,Studio,Southwest,Main Road,Yes,Yes,3730143,33426530,Yes,Yes,Registered
Gurgaon,4,4,4,611,1527,1465,3489,Apartment,Southeast,Main Road,No,Yes,7255712,38232330,No,Yes,Registered
Gurgaon,1,4,1,1271,1869,1825,2333,Independent House,Northeast,Park,No,Yes,4613226,37980689,Yes,Yes,Registered
Noida,5,2,1,754,2390,1464,2592,Independent House,Northeast,Park,No,No,8709764,15908421,No,Yes,Registered
Gurgaon,2,3,1,806,1991,1991,2603,Independent House,Southeast,None,Yes,Yes,6069360,48984819,Yes,Yes,Registered
Ghaziabad,1,2,3,514,2147,1549,2718,Studio,Southeast,Garden,No,Yes,8943576,26303008,No,Yes,Registered
Ghaziabad,3,1,1,723,1876,1514,3730,Villa,South,Garden,Yes,No,6330475,29515335,Yes,Yes,Registered
Faridabad,1,4,2,1313,2373,1285,2893,Independent House,Northeast,Garden,No,No,4309839,30882109,Yes,Yes,Registered
Faridabad,2,3,3,1361,2469,1080,3706,Villa,North,Pool,Yes,No,9603792,42370947,No,Yes,Registered
Faridabad,2,4,1,1325,2869,1947,3056,Studio,North,Pool,Yes,Yes,4725017,24157214,No,Yes,Registered
Faridabad,5,2,5,900,2824,1258,3226,Apartment,Southwest,Park,No,No,4331300,29227749,Yes,Yes,Registered
Gurgaon,2,2,4,793,2822,1062,2890,Villa,South,Main Road,Yes,No,7484395,18501669,Yes,Yes,Registered
Delhi,3,4,4,967,2415,1738,3263,Villa,Southwest,Garden,No,No,8273133,31039467,Yes,Yes,Registered
Faridabad,3,4,5,889,2941,1759,3930,Apartment,Northeast,Main Road,No,No,3979731,46421551,No,Yes,Registered
Ghaziabad,3,3,5,1315,2374,1758,3898,Apartment,Northwest,Main Road,No,Yes,7941992,41623016,Yes,Yes,Registered
Delhi,5,3,4,1027,2738,1655,3830,Villa,Southwest,Pool,No,Yes,8543278,27725592,No,Yes,Registered
Ghaziabad,3,2,5,1027,2751,1139,2137,Studio,West,Garden,Yes,Yes,4820173,22942532,Yes,Yes,Registered
Delhi,4,3,1,1207,1642,1262,2267,Studio,Southwest,None,Yes,Yes,2542708,28553159,No,Yes,Registered
Delhi,1,1,3,1109,1810,1350,2688,Apartment,East,Garden,Yes,Yes,6652856,34645119,Yes,Yes,Registered
Noida,4,2,3,1391,2881,1329,2014,Villa,Northeast,Main Road,Yes,Yes,2850049,16766220,Yes,Yes,Registered
Noida,3,3,5,708,1817,1184,3504,Studio,Northwest,Garden,No,Yes,6224332,16447238,Yes,Yes,Registered
Delhi,5,2,5,933,2476,1770,3657,Studio,East,None,Yes,Yes,2846180,16815621,Yes,Yes,Registered
Faridabad,2,1,3,957,1777,1734,3917,Independent House,Southwest,Pool,No,No,6018601,39320820,No,Yes,Registered
Faridabad,3,2,3,696,1844,1874,2148,Apartment,Southeast,Garden,No,No,8291928,41147584,Yes,Yes,Not Registered
Ghaziabad,3,2,3,652,1660,1632,2540,Apartment,Southeast,Pool,Yes,Yes,3137520,48179378,Yes,Yes,Registered
Gurgaon,4,1,2,1374,2206,1657,2508,Studio,East,None,No,No,2167148,46157146,Yes,Yes,Registered
Ghaziabad,5,2,1,561,1749,1877,3842,Villa,East,Garden,Yes,No,4881043,33166835,No,Yes,Registered
Faridabad,3,2,4,1000,1503,1934,2679,Studio,West,None,No,No,9692019,34600194,Yes,Yes,Registered
Faridabad,5,3,5,864,2886,1822,2676,Villa,Southeast,Garden,No,Yes,7791312,24883306,No,Yes,Registered
Delhi,5,2,4,1216,2288,1027,2011,Apartment,East,None,Yes,Yes,2262736,19489918,Yes,Yes,Not Registered
Delhi,2,1,1,1339,1756,1122,2150,Independent House,East,Pool,Yes,Yes,7529917,38747132,Yes,Yes,Not Registered
Faridabad,3,3,4,1423,2043,1315,3409,Villa,South,Garden,No,Yes,4411930,34800484,Yes,Yes,Registered
Gurgaon,1,3,4,1405,2502,1247,3791,Apartment,Southwest,Main Road,No,No,7229686,48461604,Yes,Yes,Registered
Delhi,3,2,3,727,2187,1986,3699,Apartment,West,Park,No,No,5895130,17330790,No,Yes,Registered
Noida,3,4,2,1483,2780,1115,3062,Studio,South,Garden,No,Yes,2280252,48619432,No,Yes,Registered
Gurgaon,5,3,4,780,2119,1276,2244,Apartment,South,None,Yes,No,7183251,37911093,No,Yes,Registered
Delhi,4,4,1,1291,2936,1729,3028,Studio,East,Main Road,Yes,Yes,8177713,29610790,Yes,Yes,Registered
Delhi,4,1,2,664,1599,1461,2246,Independent House,Southeast,Park,Yes,No,9638694,17836688,Yes,Yes,Registered
Faridabad,3,2,3,707,1717,1341,3551,Independent House,Southwest,None,Yes,Yes,2163492,46253129,No,Yes,Registered
Noida,5,3,4,508,1786,1644,3775,Independent House,East,Pool,No,Yes,6127068,13967855,Yes,No,Registered
Gurgaon,5,3,3,680,2623,1650,3658,Apartment,Southeast,Main Road,No,Yes,9196740,45216997,Yes,Yes,Registered
Noida,3,2,2,1267,1899,1618,2898,Apartment,West,Garden,Yes,No,2604787,20068635,Yes,Yes,Registered
Gurgaon,3,1,2,1133,2470,1316,3748,Studio,Northwest,Park,Yes,No,5681323,15788152,Yes,Yes,Registered
Noida,2,1,1,1015,1769,1578,3355,Studio,Northwest,None,No,Yes,2254945,23726084,No,Yes,Registered
Delhi,4,2,4,749,1980,1306,3657,Studio,Southeast,Pool,Yes,No,3087564,35679188,No,Yes,Registered
Faridabad,5,2,1,902,1933,1355,3869,Independent House,North,Park,Yes,Yes,5524075,21433727,No,Yes,Registered
Faridabad,2,3,1,1393,2249,1619,2129,Studio,Northeast,None,Yes,No,3496171,18772050,No,Yes,Registered
Faridabad,2,4,1,1024,2605,1250,3982,Independent House,South,None,Yes,No,2245502,41890233,Yes,Yes,Registered
Delhi,3,1,1,823,2950,1406,2182,Independent House,Northeast,Main Road,No,No,7170172,44143178,No,Yes,Registered
Faridabad,4,4,4,1356,2524,1770,3618,Apartment,Northwest,None,No,Yes,3610376,34613332,No,Yes,Registered
Ghaziabad,4,1,4,989,2903,1898,3043,Apartment,Southeast,Pool,No,Yes,2530070,21843479,Yes,Yes,Registered
Delhi,3,3,4,666,1766,1646,3203,Independent House,West,Pool,No,Yes,7037364,35091612,Yes,Yes,Registered
Noida,1,2,1,705,1616,1472,3331,Studio,Northeast,Park,Yes,Yes,3594004,16159562,Yes,Yes,Registered
Ghaziabad,2,2,3,811,2723,1752,3938,Studio,East,Park,Yes,Yes,3302071,47929782,Yes,Yes,Registered
Ghaziabad,5,3,2,514,2058,1338,3899,Studio,Northeast,Pool,No,No,6849546,34231790,Yes,Yes,Registered
Faridabad,1,3,4,1030,2641,1276,3297,Apartment,West,None,No,No,2481414,46320821,No,Yes,Not Registered
Noida,5,1,2,926,2266,1668,2121,Independent House,East,Main Road,Yes,No,3950601,43147952,No,Yes,Registered
Ghaziabad,4,4,2,1165,2347,1249,3272,Independent House,West,Main Road,Yes,Yes,8303265,31361936,Yes,Yes,Registered
Ghaziabad,3,1,2,1107,2729,1395,2631,Apartment,Southwest,Garden,Yes,No,3549267,14303472,Yes,Yes,Registered
Gurgaon,2,3,1,1179,2299,1844,2435,Villa,Southeast,Garden,No,Yes,3738831,42370918,Yes,Yes,Registered
Gurgaon,4,2,5,581,2072,1765,3146,Villa,Northeast,Garden,No,No,9409871,38267081,Yes,Yes,Registered
Noida,4,2,5,1430,2769,1783,2390,Apartment,Northwest,Pool,Yes,Yes,4688952,16865513,Yes,Yes,Not Registered
Delhi,5,3,4,720,2683,1024,2163,Apartment,East,Pool,Yes,Yes,2097115,18494216,No,Yes,Registered
Noida,2,4,1,1123,2638,1287,2902,Studio,Northwest,Main Road,No,No,6884036,43630866,Yes,Yes,Registered
Noida,5,2,5,1313,1652,1546,2119,Villa,North,Main Road,No,Yes,5617105,37636862,Yes,Yes,Registered
Ghaziabad,1,2,3,1499,1836,1307,2556,Villa,East,None,No,No,2689183,27735456,Yes,Yes,Not Registered
Ghaziabad,3,4,5,594,2230,1616,2365,Independent House,East,Pool,No,Yes,5693115,43834463,Yes,Yes,Registered
Ghaziabad,2,4,4,1373,1869,1853,2634,Studio,North,Park,No,Yes,9786836,46456431,Yes,Yes,Not Registered
Noida,2,4,3,1344,2367,1129,2286,Villa,Southeast,None,No,No,6837454,41928311,Yes,Yes,Registered
Delhi,1,1,3,795,2082,1702,2322,Apartment,East,Garden,No,No,7685987,29338541,No,Yes,Registered
Ghaziabad,5,1,1,1231,2504,1835,2389,Apartment,South,Park,Yes,No,3797428,43875347,No,Yes,Registered
Ghaziabad,1,2,5,1244,2263,1574,3940,Villa,South,Main Road,No,No,4126953,25555829,Yes,Yes,Registered
Faridabad,2,3,4,582,2426,1881,2356,Villa,Northeast,Park,Yes,Yes,7162720,20916483,No,Yes,Registered
Noida,3,4,1,1011,2798,1241,2743,Independent House,Northeast,Park,No,Yes,3384806,44766343,Yes,Yes,Registered
Ghaziabad,2,3,5,1141,2892,1743,3163,Villa,East,Park,No,No,6633002,24817695,Yes,Yes,Not Registered
Faridabad,2,4,1,667,1570,1824,2943,Apartment,Northwest,Pool,Yes,No,3675049,34438589,Yes,Yes,Registered
Gurgaon,2,4,4,892,2462,1813,2187,Villa,South,None,Yes,No,6057847,35858589,Yes,Yes,Registered
Gurgaon,2,4,4,1443,2422,1806,3083,Apartment,West,Park,No,Yes,2445485,14749887,No,Yes,Registered
Faridabad,2,2,2,1469,2485,1416,2221,Villa,North,None,Yes,Yes,8382834,24315607,Yes,Yes,Registered
Faridabad,4,2,1,1159,2490,1308,2050,Studio,Southwest,Garden,Yes,Yes,4537133,32292876,Yes,Yes,Registered
Noida,4,2,2,776,1872,1132,2788,Apartment,West,Park,Yes,Yes,2407806,12740992,Yes,Yes,Not Registered
Gurgaon,2,3,3,1368,2440,1082,2590,Apartment,Northeast,Garden,No,No,2050476,29545153,Yes,Yes,Registered
Noida,2,1,5,1070,1890,1642,3787,Independent House,Southwest,None,Yes,No,7082455,39243935,No,No,Registered
Faridabad,2,4,5,1348,2368,1532,2822,Studio,North,Garden,Yes,No,7608868,36764389,Yes,Yes,Registered
Faridabad,4,2,5,1290,1592,1722,3784,Independent House,East,Garden,Yes,No,2100283,22375169,No,Yes,Registered
Delhi,1,2,2,797,2923,1583,3158,Apartment,North,Pool,Yes,Yes,8128692,13135191,Yes,Yes,Registered
Delhi,5,4,1,1447,1703,1316,2910,Villa,Northwest,None,Yes,Yes,4997052,48547067,No,Yes,Registered
Delhi,4,1,2,1236,2327,1262,2297,Independent House,East,Main Road,Yes,Yes,8002230,48510961,Yes,Yes,Registered
Faridabad,4,3,5,1138,2649,1014,2429,Villa,East,Garden,No,Yes,8626335,32274146,Yes,Yes,Registered
Ghaziabad,4,3,2,748,2673,1819,3398,Independent House,South,Pool,Yes,Yes,6592751,49837661,No,Yes,Registered
Ghaziabad,1,4,3,1408,1771,1428,3320,Apartment,West,Main Road,Yes,No,4809946,31386252,Yes,Yes,Not Registered
Faridabad,3,1,1,647,1670,1206,2724,Apartment,Southeast,Garden,Yes,No,4559733,33450391,Yes,Yes,Registered
Noida,3,4,5,701,2492,1722,3768,Villa,South,Garden,No,Yes,4530969,19217217,Yes,Yes,Registered
Faridabad,1,3,1,715,2487,1896,2589,Apartment,Southeast,Pool,Yes,No,5379982,46942386,Yes,Yes,Registered
Ghaziabad,5,4,3,903,2749,1989,2036,Independent House,Northwest,None,No,Yes,4856885,29706416,Yes,Yes,Registered
Noida,1,4,1,769,1939,1084,2809,Studio,West,Main Road,Yes,No,2996940,20887199,Yes,Yes,Registered
Ghaziabad,5,2,4,844,1509,1602,3632,Apartment,Northwest,Garden,Yes,Yes,3344954,15320719,No,Yes,Registered
Gurgaon,1,4,1,660,1689,1733,3978,Apartment,Southeast,Main Road,No,No,9428974,21769837,No,Yes,Registered
Noida,5,1,2,638,2996,1661,3714,Villa,East,Park,Yes,Yes,6502212,28209740,Yes,Yes,Registered
Delhi,1,2,2,1427,2535,1341,2736,Villa,North,Pool,No,No,4853474,49300869,No,Yes,Registered
Gurgaon,3,1,3,629,2711,1063,2816,Apartment,Southeast,Park,No,No,7412506,33706243,Yes,Yes,Registered
Gurgaon,4,2,4,1064,2136,1484,2564,Villa,East,Pool,No,No,9851053,26201033,No,Yes,Registered
Gurgaon,5,4,5,502,2709,1551,2431,Studio,North,Garden,No,No,3590486,49725155,No,Yes,Registered
Noida,4,1,3,722,2752,1628,2525,Studio,Northwest,None,Yes,No,2723328,39713654,Yes,Yes,Registered
Delhi,4,1,2,871,2129,1132,2396,Villa,East,Main Road,No,No,7847280,20210511,Yes,Yes,Registered
Delhi,3,3,1,620,2251,1907,2023,Studio,East,Garden,Yes,Yes,8210001,49609616,Yes,Yes,Registered
Noida,5,2,3,545,2897,1011,3793,Villa,Southwest,Pool,Yes,Yes,9816487,20661493,No,Yes,Registered
Faridabad,2,4,4,1057,1726,1243,2777,Apartment,Southeast,Garden,Yes,Yes,7792601,35191404,Yes,Yes,Registered
Ghaziabad,3,2,2,1187,2187,1632,2672,Villa,Northwest,Pool,No,No,7262113,38320204,Yes,Yes,Registered
Faridabad,4,1,2,553,2039,1219,2797,Villa,West,None,Yes,No,5861710,38045597,No,Yes,Registered
