Name,Price,property,status,floor,transaction,facing,overlooking,ownership,bathroom,balcony,city,location,Rate_per_sqft,bedroom,total_area,year,Registry,Land Deed,Furniture
"4 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",23800000,Unknown,Ready to Move,10 out of 14,New Property,East,"Garden/Park, Main Road",Freehold,4,3,Gurgaon, Bestech Altura,8957,4,2657.139667,2000,Registered,Yes,Yes
"4 BHK Flat for Sale in Hauz Khas, New Delhi",54900000,Unknown,Poss. by Jan '27,Ground out of 4,New Property,North - East,Garden/Park,Freehold,4,2,Delhi, Hauz Khas,31371,4,1750.023907,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in Ashiana Amarah, Sector 93, Gurgaon",13500000,Unknown,Ready to Move,1 out of 4,New Property,West,Main Road,Freehold,3,2,Gurgaon, Ashiana Amarah,7297,3,1850.075373,2000,Registered,Yes,Yes
"> 10 BHK House for Sale in Suncity Township, Suncity, Sector 54, DLF Golf Course Road Gurgaon",25000000,Unknown,Ready to Move,3 out of 4,Resale,North - East,Garden/Park,Freehold,10,2,Gurgaon, Suncity Township,42735,10,585.000585,2000,Registered,Yes,Yes
"4 BHK Flat for Sale in South City 1, Sector 41, Gurgaon",41900000,Unknown,Ready to Move,4 out of 4,New Property,South,Garden/Park,Freehold,5,2,Gurgaon, South City 1,11971,4,3500.125303,2000,Registered,No,Yes
"4 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",26000000,Unknown,Ready to Move,2 out of 4,New Property,North - East,"Garden/Park, Main Road",Freehold,4,2,Gurgaon, Uppal Southend,11818,4,2200.033847,2000,Registered,No,No
"3 BHK Flat for Sale in Sushant Lok 3, Sector 57, Gurgaon",19000000,Unknown,Ready to Move,4 out of 4,New Property,East,Main Road,Freehold,3,3,Gurgaon, Sushant Lok 3,11176,3,1700.071582,2000,Not Registered,Yes,No
"4 BHK Flat for Sale in Luxurious Builder Floor, Sushant Lok 2, Gurgaon",26000000,Unknown,Ready to Move,4 out of 14,New Property,Not specified,"Garden/Park, Pool, Main Road",Freehold,4,4,Gurgaon, Luxurious Builder Floor,10833,4,2400.073848,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",20500000,Unknown,Ready to Move,2 out of 4,New Property,Not specified,Road,Not specified,3,2,Gurgaon, Uppal Southend,9762,3,2099.979512,2000,Not Registered,Yes,Yes
"3 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",17200000,Unknown,Ready to move,2 out of 4,Resale,Not specified,Road,Not specified,3,2,Gurgaon, Bestech Altura,8536,3,2014.995314,2000,Registered,Yes,No
"3 BHK Flat for Sale in Antriksh Grand View, Sector 150, Pusta Road, Noida",18500000,C K Realty,Ready to Move,9 out of 19,New Property,North - East,"Garden/Park, Pool, Main Road",Leasehold,4,6,Noida, Antriksh Grand View,8222,3,2250.060812,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in Kishangarh, Vasant Kunj, New Delhi",8500000,Nandi Realtors,Ready to Move,3 out of 5,New Property,East,"Garden/Park, Main Road",Freehold,3,1,Delhi, Kishangarh,6538,3,1300.091771,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in Vatika Sovereign Park, Sector 99, Gurgaon",29100000,Shikhar Realty Services Pvt. Ltd.,Poss. by Apr '24,5 out of 12,New Property,South - East,"Garden/Park, Pool, Main Road",Freehold,4,3,Gurgaon, Vatika Sovereign Park,10500,3,2771.428571,2000,Not Registered,Yes,Yes
3 BHK House for Sale in Sector 45 Block A Gurgaon,21000000,A N Builders & Promoters,Ready to Move,1 out of 3,Resale,East,"Garden/Park, Main Road",Freehold,3,2,Gurgaon, Sector 45 Block A Gurgaon,15556,3,1349.96143,2000,Not Registered,No,Yes
"3 BHK Flat for Sale in Paramount Emotions, Noida Extension, Noida",7700000,Piyush Ahuja,Ready to Move,1 out of 19,Resale,North - East,Main Road,Leasehold,2,5,Noida, Paramount Emotions,5580,3,1379.928315,2000,Registered,No,No
"3 BHK Villa for Sale in DLF City Phase 1, DLF City Phase 1 Gurgaon",60000000,Infinity Investments,Ready to Move,7 out of 20,Resale,North - West,Main Road,Freehold,3,3,Gurgaon, DLF City Phase 1,21429,3,2799.944001,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in Capital Athena, Sector 1 Greater Noida West, Greater Noida",10600000,Bhoomi Zone,Ready to Move,2 out of 4,New Property,North - East,"Pool, Garden/Park",Freehold,3,3,Noida, Capital Athena,8218,3,1289.851545,2000,Registered,Yes,Yes
"2 BHK Flat for Sale in Smart World Orchard, Sector 61, Gurgaon",16600000,AR Realtors ,Poss. by Jan '24,1 out of 14,New Property,North - East,"Garden/Park, Pool, Main Road",Leasehold,2,2,Gurgaon, Smart World Orchard,14500,2,1144.827586,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in Emaar Emerald Estate, Sector 65, Gurgaon",17500000,Shokeen Estates,Ready to Move,1 out of 4,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,3,3,Gurgaon, Emaar Emerald Estate,11667,3,1499.957144,2000,Registered,Yes,No
"4 BHK Flat for Sale in RWA Sector 57, Sector 57 Block G, Golf Course Extension Road, Gurgaon",20000000,Maakriti Realtors Private Limited,Ready to Move,10 out of 14,Resale,North - East,"Garden/Park, Main Road",Freehold,3,3,Gurgaon, RWA Sector 57,7407,4,2700.148508,2000,Registered,No,Yes
"4 BHK Flat for Sale in Corona Optus, Sector 37C, Delhi Gurgaon Expressway, Gurgaon",17500000,Arun Singhal,Ready to Move,2 out of 3,Resale,East,"Garden/Park, Pool, Main Road",Freehold,6,4,Gurgaon, Corona Optus,6331,4,2764.176275,2000,Not Registered,No,Yes
5 BHK House for Sale in Sector 28 Gurgaon,41000000,Shree Home Solution,Ready to Move,15 out of 17,Resale,East,"Garden/Park, Main Road",Freehold,3,3,Gurgaon, Sector 28 Gurgaon,7178,5,5711.897464,2000,Registered,Yes,No
"3 BHK Flat for Sale in Siddhartha Vihar, NH 24, Ghaziabad",14700000,Space & Services Venture (Regd.),Poss. by Mar '26,1 out of 4,New Property,East,"Garden/Park, Pool, Main Road",Freehold,3,5,Ghaziabad, Siddhartha Vihar,3928,3,3742.362525,2000,Registered,No,Yes
"2 BHK Flat for Sale in RPS Savana, Sector 88, Faridabad",5000000,Grow Up Investors,Ready to Move,3 out of 4,Resale,East,Main Road,Freehold,2,2,Faridabad, RPS Savana,6029,2,829.3249295,2000,Not Registered,Yes,No
"5 BHK Flat for Sale in Rajendra Nagar, Ghaziabad",20500000,Happy Homez,Ready to Move,19 out of 28,New Property,North - East,Garden/Park,Freehold,4,4,Ghaziabad, Rajendra Nagar,10331,5,1984.31904,2000,Registered,Yes,No
"4 BHK Flat for Sale in All Punjabi Welfare Association, Sector 23, Gurgaon",26500000,Anantham Infra Pvt Ltd,Ready to Move,4 out of 20,New Property,North - East,"Garden/Park, Main Road",Freehold,4,2,Gurgaon, All Punjabi Welfare Association,17584,4,1507.051865,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in M3M Golf Estate, Sector 65, Gurgaon",61000000,Shiv Shakti Properties,Ready to Move,4 out of 7,Resale,East,"Garden/Park, Pool, Main Road",Freehold,4,3,Gurgaon, M3M Golf Estate,7035,3,8670.931059,2000,Not Registered,No,Yes
"3 BHK Flat for Sale in Ramprastha Primera, Garauli Khurd, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",12100000,Happy Homes Properties and Builders,Ready to Move,2 out of 10,New Property,East,"Garden/Park, Pool, Main Road",Freehold,2,3,Gurgaon, Ramprastha Primera,12513,3,966.9943259,2000,Not Registered,Yes,Yes
"3 BHK Flat for Sale in Kesarwani Apartment, Dwarka Sector 5, New Delhi",24400000,Unistar Estates Pvt. Ltd.,Ready to Move,1 out of 4,Resale,North - West,Garden/Park,Freehold,3,5,Delhi, Kesarwani Apartment,15400,3,1584.415584,2000,Registered,Yes,Yes
"4 BHK Flat for Sale in Guru Apartment, Dwarka Sector 6, New Delhi",38500000,Unknown,Ready to Move,1 out of 4,Resale,East,"Garden/Park, Main Road",Freehold,4,2,Delhi, Guru Apartment,10511,4,3662.829417,2000,Not Registered,Yes,Yes
"3 BHK Flat for Sale in MRG Crown, Sector 106, Gurgaon",17500000,Unknown,Poss. by Feb '26,1 out of 4,New Property,East,"Garden/Park, Main Road",Freehold,3,1,Gurgaon, MRG Crown,5753,3,3041.891187,2000,Not Registered,Yes,Yes
"1 BHK Flat for Sale in Uttam Nagar, New Delhi",2100000,Unknown,Ready to Move,4 out of 28,New Property,North,Main Road,Freehold,2,2,Delhi, Uttam Nagar,5759,1,364.64664,2000,Not Registered,No,Yes
"3 BHK Flat for Sale in Indirapuram, Ghaziabad",8350000,Unknown,Ready to Move,1 out of 4,New Property,East,Main Road,Freehold,2,3,Ghaziabad, Indirapuram,15312,3,545.3239289,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar, New Delhi",24500000,Unknown,Ready to Move,3 out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,3,1,Delhi, DLF Capital Greens 1 and 2,5000,3,4900,2000,Not Registered,Yes,Yes
"2 BHK Flat for Sale in Shakti Khand, Indirapuram, Ghaziabad",4500000,Unknown,Ready to Move,3 out of 9,New Property,East,Main Road,Freehold,2,1,Ghaziabad, Shakti Khand,3765,2,1195.219124,2000,Registered,No,Yes
"2 BHK Flat for Sale in Prestige Apartments, Chhattarpur, New Delhi",3200000,Unknown,Ready to Move,16 out of 20,New Property,East,Main Road,Freehold,2,2,Delhi, Prestige Apartments,10529,2,303.9224998,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in Shapoorji Pallonji Joyville Gurugram, Sector 102, Gurgaon",19500000,Unknown,Ready to Move,1 out of 4,Resale,East,Main Road,Freehold,3,4,Gurgaon, Shapoorji Pallonji Joyville Gurugram,14856,3,1312.600969,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in M3M Merlin, Sector 67, Gurgaon",35000000,Unknown,Ready to Move,9 out of 38,Resale,East,"Garden/Park, Pool",Freehold,4,1,Gurgaon, M3M Merlin,5128,3,6825.273011,2000,Not Registered,Yes,Yes
"5 BHK Flat for Sale in Tulip Monsella, Golf Course Road, Gurgaon",92500000,Unknown,Poss. by Jun '27,2 out of 4,Resale,Not specified,Road,Not specified,6,2,Gurgaon, Tulip Monsella,7631,5,12121.60923,2000,Registered,No,Yes
"3 BHK Flat for Sale in Aashirwad Homes, Neharpar, Faridabad",10500000,Aashirwad Home Developers,Ready to Move,3 out of 4,New Property,North,Garden/Park,Freehold,3,2,Faridabad, Aashirwad Homes,7000,3,1500,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in M3M Woodshire, Sector 107, Gurgaon",13000000,Dwarka Expressway Homes,Ready to Move,8 out of 15,Resale,East,"Garden/Park, Pool, Main Road",Freehold,3,4,Gurgaon, M3M Woodshire,6691,3,1942.908384,2000,Registered,Yes,Yes
"4 BHK Flat for Sale in RWA Sushant lok, Sushant Lok-I, Sector 43, Gurgaon",27500000,Premium Estates,Ready to Move,1 out of 4,New Property,North - East,Main Road,Freehold,4,2,Gurgaon, RWA Sushant lok,8488,4,3239.868049,2000,Registered,Yes,Yes
"4 BHK Flat for Sale in Sushant Lok 1 Block C, Gurgaon",55000000,Ruchika,Ready to Move,3 out of 4,New Property,North - East,Garden/Park,Freehold,3,3,Gurgaon, Sushant Lok 1 Block C,9773,4,5627.749923,2000,Not Registered,Yes,No
"4 BHK Flat for Sale in Himachal Dauladhar, Dwarka Sector 5, New Delhi",21500000,Treveni Properties,Ready to Move,4 out of 7,Resale,East,Main Road,Freehold,3,2,Delhi, Himachal Dauladhar,9737,4,2208.072302,2000,Registered,No,No
"3 BHK Flat for Sale in Sector 63A, Gurgaon",18500000,Ambawata Properties,Ready to Move,1 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,3,2,Gurgaon, Sector 63A,25926,3,713.5693898,2000,Registered,Yes,No
"4 BHK Flat for Sale in Executive Floor, Greater Kailash, New Delhi",70000000,Silver Homz,Ready to Move,3 out of 4,New Property,North - East,Garden/Park,Freehold,4,2,Delhi, Executive Floor,10706,4,6538.389688,2000,Registered,Yes,No
"3 BHK Flat for Sale in IES Officers Apartment, Dwarka Sector 4, New Delhi",18200000,Bajaj Properties,Ready to Move,4 out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,2,2,Delhi, IES Officers Apartment,10900,3,1669.724771,2000,Registered,Yes,No
"3 BHK Flat for Sale in Hind Apartment, Dwarka Sector 5, New Delhi",21800000,A One Realtors,Ready to Move,8 out of 8,Resale,North - East,"Garden/Park, Main Road",Freehold,3,3,Delhi, Hind Apartment,7344,3,2968.409586,2000,Registered,Yes,Yes
"4 BHK Flat for Sale in Vatika Sovereign Next, Sector 82A, Gurgaon",23500000,Bhoomi Bazar,Ready to Move,10 out of 22,New Property,East,"Garden/Park, Pool",Freehold,4,3,Gurgaon, Vatika Sovereign Next,11250,4,2088.888889,2000,Registered,Yes,No
"4 BHK Flat for Sale in The Vimal Apartment, Dwarka Sector 12, New Delhi",18000000,Sachdeva Associates,Ready to Move,1 out of 8,Resale,East,"Garden/Park, Main Road",Freehold,3,3,Delhi, The Vimal Apartment,20202,4,891.000891,2000,Registered,Yes,Yes
3 BHK House for Sale in Palam Vihar Pocket B Gurgaon,12000000,Balaji Properties,Ready to Move,3 out of 3,Resale,East,Main Road,Freehold,3,3,Gurgaon, Palam Vihar Pocket B Gurgaon,6263,3,1916.014689,2000,Registered,Yes,Yes
"2 BHK Flat for Sale in Dwarka Mor, New Delhi",3100000,Khatu Shyam Builders,Ready to Move,2 out of 4,New Property,West,Garden/Park,Freehold,2,1,Delhi, Dwarka Mor,46393,2,66.8204255,2000,Registered,Yes,No
10 BHK Villa for Sale in New Friends Colony New Delhi,200000000,Shriram Properties,Ready to Move,3 out of 3,Resale,South - East,"Garden/Park, Main Road",Freehold,10,8,Delhi, New Friends Colony New Delhi,8231,10,24298.38416,2000,Registered,Yes,Yes
"2 BHK Flat for Sale in DDA Metro View Apartments, Dwarka Sector 13, New Delhi",10700000,Jai Ambay Associates,Ready to Move,Ground out of 4,Resale,North,Garden/Park,Freehold,2,2,Delhi, DDA Metro View Apartments,4861,2,2201.19317,2000,Registered,Yes,Yes
"2 BHK Flat for Sale in Govindpuri Main, New Delhi",3500000,Builders World Developer,Ready to Move,12 out of 34,New Property,North - East,"Garden/Park, Pool, Main Road",Freehold,1,4,Delhi, Govindpuri Main,11849,2,295.3835767,2000,Registered,Yes,No
"3 BHK Flat for Sale in Whiteland The ASPEN, Sector 76, Delhi Gurgaon Expressway, Gurgaon",34800000,Hind Realty Solutions,Poss. by Nov '27,1 out of 4,New Property,East,Main Road,Freehold,3,2,Gurgaon, Whiteland The ASPEN,10303,3,3377.656993,2000,Registered,No,Yes
"3 BHK Flat for Sale in RWA Residential Society, Sector 46, Gurgaon",17000000,Parnami Infratech Pvt. Ltd,Ready to Move,16 out of 20,New Property,North - East,Main Road,Freehold,3,3,Gurgaon, RWA Residential Society,3443,3,4937.554458,2000,Registered,Yes,No
"3 BHK Flat for Sale in Sector 86, Faridabad",6500000,Salasar Estate,Ready to Move,1 out of 4,Resale,North - East,Main Road,Freehold,2,1,Faridabad, Sector 86,4915,3,1322.482197,2000,Registered,Yes,No
"3 BHK Flat for Sale in Dwarka Mor, New Delhi",5160000,OM Documentation & Associates ,Ready to Move,20 out of 28,New Property,East,"Garden/Park, Pool, Main Road",Freehold,2,2,Delhi, Dwarka Mor,15152,3,340.5491024,2000,Registered,Yes,Yes
"2 BHK Flat for Sale in Emerald Heights, Sector 88, Faridabad",7600000,Raj Properties,Ready to Move,3 out of 4,Resale,North,"Garden/Park, Main Road",Freehold,2,2,Faridabad, Emerald Heights,6483,2,1172.296776,2000,Registered,Yes,No
"3 BHK Flat for Sale in Signature Global Park 4 and 5, Sohna, Gurgaon",7650000,Agarwal Realtors,Ready to Move,1 out of 4,Resale,North - West,Garden/Park,Freehold,2,2,Gurgaon, Signature Global Park 4 and 5,23214,3,329.5425174,2000,Registered,No,Yes
"3 BHK Flat for Sale in Experion Windchants, Sector 112, Gurgaon",36000000,Deal Realtors,Ready to Move,9 out of 20,Resale,North - East,"Garden/Park, Pool",Freehold,3,3,Gurgaon, Experion Windchants,19853,3,1813.327961,2000,Registered,Yes,Yes
"4 BHK Flat for Sale in DLF The Summit, Sector 54, Gurgaon",67500000,Mehta Propmart Pvt. Ltd.,Ready to Move,10 out of 20,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,4,3,Gurgaon, DLF The Summit,6500,4,10384.61538,2000,Registered,No,Yes
"3 BHK Flat for Sale in PAREENA COBAN RESIDENCES, Sector 99A, Delhi Gurgaon Expressway, Gurgaon",12900000,Aar Pee Ess Associates,Ready to Move,Ground out of 3,New Property,North - East,"Garden/Park, Main Road",Freehold,3,2,Gurgaon, PAREENA COBAN RESIDENCES,8889,3,1451.23186,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in DDA Metro View Apartments, Dwarka Sector 13, New Delhi",16000000,Bhoomi Real Estate (Reg.),Ready to Move,4 out of 7,New Property,North - East,"Garden/Park, Main Road",Freehold,2,2,Delhi, DDA Metro View Apartments,9529,3,1679.084899,2000,Not Registered,No,Yes
"3 BHK Flat for Sale in Anusandhan Apartment, Dwarka Sector 6, New Delhi",16200000,Negi Associates,Ready to Move,19 out of 19,Resale,Not specified,"Garden/Park, Pool, Main Road",Freehold,2,4,Delhi, Anusandhan Apartment,4699,3,3447.54203,2000,Registered,Yes,Yes
"2 BHK Flat for Sale in The Golden Gate, Wave City, Ghaziabad",6070000,Investment Mantra Homes,Poss. by Dec '23,2 out of 4,New Property,Not specified,Road,Not specified,2,2,Ghaziabad, The Golden Gate,7631,2,795.439654,2000,Registered,Yes,No
"4 BHK Flat for Sale in Apna Villa Apartment, Dwarka Sector 10, New Delhi",24500000,Sehrawat Properties Pvt. Ltd.,Ready to Move,2 out of 9,Resale,North,Garden/Park,Freehold,4,3,Delhi, Apna Villa Apartment,11136,4,2200.071839,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in Fakhruddin Apartments, Dwarka Sector 10, New Delhi",19500000,R S Associates,Ready to Move,5 out of 7,Resale,North - East,"Garden/Park, Main Road",Freehold,4,3,Delhi, Fakhrudd Apartments,9286,3,2099.935387,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in Umang Monsoon Breeze Phase 2, Sector 78, Gurgaon",9950000,DC Jain Real Estate Services Pvt. Ltd.,Ready to Move,4 out of 12,New Property,North,"Garden/Park, Pool, Main Road",Freehold,3,3,Gurgaon, Umang Monsoon Breeze Phase 2,5750,3,1730.434783,2000,Not Registered,No,Yes
"3 BHK Flat for Sale in DDA Platinum Heights, Dwarka Sector 18, New Delhi",17300000,Devbhoomi Realtors,Ready to Move,3 out of 10,Resale,North - East,Garden/Park,Freehold,2,3,Delhi, DDA Platinum Heights,9611,3,1800.020809,2000,Registered,No,No
"3 BHK Flat for Sale in Sushant Lok 1 Block C, Gurgaon",19000000,Alleanza Landbase Pvt. Ltd.,Ready to Move,2 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,3,2,Gurgaon, Sushant Lok 1 Block C,10053,3,1889.98309,2000,Registered,No,Yes
"3 BHK Flat for Sale in Kanak Durga Apartment, Dwarka Sector 12, New Delhi",22500000,Prime Estates,Ready to Move,2 out of 10,Resale,East,"Garden/Park, Main Road",Freehold,3,3,Delhi, Kanak Durga Apartment,12500,3,1800,2000,Registered,No,Yes
"2 BHK Flat for Sale in Unitech Harmony, Nirvana Country, Sector 50, Gurgaon",17500000,S S Properties,Ready to Move,11 out of 19,Resale,East,"Pool, Garden/Park, Main Road",Freehold,2,2,Gurgaon, Unitech Harmony,9744,2,1795.977011,2000,Registered,Yes,No
"2 BHK Flat for Sale in Raheja Shilas, Sector 109, Gurgaon",7000000,Parmar Properties,Ready to Move,7 out of 14,Resale,North - East,Garden/Park,Freehold,2,2,Gurgaon, Raheja Shilas,4801,2,1458.029577,2000,Not Registered,Yes,Yes
"2 BHK Flat for Sale in DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road, New Delhi",13000000,Sai Associates,Ready to Move,3 out of 3,Resale,North - West,"Garden/Park, Main Road",Freehold,2,3,Delhi, DDA Flats Sarita Vihar,11304,2,1150.035386,2000,Registered,Yes,Yes
"3 BHK Flat for Sale in Tata La Vida, Sector 113, Gurgaon",16200000,Taniya rawat,Ready to Move,8 out of 13,New Property,North - East,"Garden/Park, Pool, Main Road",Freehold,3,3,Gurgaon, Tata La Vida,10260,3,1578.947368,2000,Registered,No,Yes
"4 BHK Flat for Sale in Prem Milan Apartment, Dwarka Sector 18, New Delhi",26500000,Anand Properties,Ready to Move,5 out of 10,Resale,South,"Main Road, Garden/Park",Freehold,3,4,Delhi, Prem Milan Apartment,11042,4,2399.927549,2000,Registered,Yes,Yes
"5 BHK Flat for Sale in Greater Kailash 1, New Delhi",166068237.6,Global Realitiez,Ready to Move,Ground out of 4,New Property,North - West,Garden/Park,Freehold,6,5,Delhi, Greater Kailash 1,25385,5,6499.901517,2001,Registered,Yes,Yes
"2 BHK Flat for Sale in DLF One Midtown, Moti Nagar, Kirti Nagar, New Delhi",32207173.35,Ashwani Jangra,Poss. by Dec '24,7 out of 39,New Property,North,Main Road,Freehold,2,2,Delhi, DLF One Midtown,18286,2,1749.972657,2001,Registered,Yes,Yes
"4 BHK Flat for Sale in Neeti Khand 2, Indirapuram, Ghaziabad",16103586.67,Realty Experts,Ready to Move,Ground out of 3,Resale,East,"Garden/Park, Main Road",Freehold,3,2,Ghaziabad, Neeti Khand 2,7273,4,2199.917503,2001,Registered,Yes,No
"3 BHK Flat for Sale in Shubham CGHS, Dwarka Sector 22, New Delhi",15600349.59,R K Property & Interior,Ready to Move,4 out of 8,Resale,North - West,"Garden/Park, Main Road",Freehold,2,3,Delhi, Shubham CGHS,9688,3,1599.917424,2001,Registered,Yes,Yes
"3 BHK Flat for Sale in Sector 83, Gurgaon",12379632.26,LSG Landbase,Ready to Move,18 out of 33,New Property,East,Garden/Park,Freehold,2,3,Gurgaon, Sector 83,13810,3,890.6589428,2001,Registered,No,Yes
"2 BHK Flat for Sale in Emaar Emerald Estate, Sector 65, Gurgaon",14593875.42,Apex Propmart,Ready to Move,9 out of 12,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,2,2,Gurgaon, Emaar Emerald Estate,26154,2,554.4085035,2001,Not Registered,Yes,No
